initialFinish CUDelta[0] CUIdx[0] CUValid[0] CUDelta[1] CUIdx[1] CUValid[1] CUDelta[2] CUIdx[2] CUValid[2] CUDelta[3] CUIdx[3] CUValid[3] CUDelta[4] CUIdx[4] CUValid[4] CUDelta[5] CUIdx[5] CUValid[5] CUDelta[6] CUIdx[6] CUValid[6] CUDelta[7] CUIdx[7] CUValid[7] rowReady rowValid binIdx rowIdx rowDelta[0] rowDelta[1] rowDelta[2] rowDelta[3] rowDelta[4] rowDelta[5] rowDelta[6] rowDelta[7] CUReady[0] CUReady[1] CUReady[2] CUReady[3] CUReady[4] CUReady[5] CUReady[6] CUReady[7] PEReady[0] PEReady[1] PEReady[2] PEReady[3]
0 381e c3 0 38bd 8d 1 3045 53 0 3938 9d 1 365b 66 0 372c ed 0 3a81 30 1 3ba8 fa 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 1 
0 258d 40 0 382d 4e 1 36ef 53 1 38b8 da 0 2ab9 a0 0 3666 6e 0 3a1f 76 0 3ae6 7b 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
0 3169 02 1 3456 48 0 3750 d5 1 2e66 5a 0 3457 64 0 2b89 6d 1 39b6 f4 0 25a0 fa 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 1 
0 3960 c5 0 2f12 4e 1 3480 93 0 39e6 5a 1 2d74 e6 1 3bac af 1 3b21 f5 1 3678 fd 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
0 3825 c6 1 3911 ce 0 2d76 d5 1 2663 d9 1 2c33 e7 1 2b0e ad 0 374d 31 0 39b4 3d 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
0 3637 02 1 3b2a 4c 1 3957 d2 1 3a13 98 1 3924 64 0 342d 6a 1 381d f4 1 2f83 7f 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
0 31b7 01 0 397e 8b 0 3bbb 90 1 3ab1 99 0 382b 27 1 2836 a8 0 33ed b6 0 3926 3b 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 1 
0 3b33 85 1 3bbb 0c 1 3365 d1 0 3150 1a 1 37ba a0 0 3a3a ea 0 3bcd b5 0 3a8b bf 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 1 
0 36cb c2 0 36e9 4e 1 2f86 d6 1 197c 1f 1 3402 e0 0 1fa6 ed 0 360a 31 0 384c f9 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 0 
0 3959 06 0 3aff 8d 1 3527 d6 1 39f6 18 1 30a1 a2 1 2c11 2f 0 2da6 f4 1 3a6c 3b 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 1 
0 391a 47 1 2b56 0e 0 34b0 50 0 374f 1a 1 3a8a a3 0 3b2c 69 0 35fa 74 0 3bc9 3b 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
0 3b15 85 1 307d 4b 1 33a9 55 1 356f 18 1 38af a5 1 3afd a8 0 35bf 32 1 3538 fa 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 0 
0 3b52 41 0 3212 48 1 3a3c 90 0 395b 9c 1 3087 e1 0 29ca a9 1 388b 74 0 373e 79 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
0 3994 02 0 2b9a 0e 0 39ee 90 1 319d de 1 39fc e0 0 2e2c ab 1 38a0 77 0 3a0f 38 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 1 
0 3b36 80 0 39da 0e 0 3a2f d7 0 3928 da 1 2e62 67 1 3406 ee 1 3549 71 0 3ae8 7c 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
0 3808 c1 1 39d2 c9 1 351a 15 0 34a7 1b 1 32a2 20 0 3ad4 eb 0 2f8e 34 0 3758 fd 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 1 
0 2c6d c4 0 3558 0a 0 380d d7 1 3779 9b 0 34de e7 0 20f5 68 1 3879 f0 0 35c6 bd 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 0 
0 281a 81 1 380e 8f 0 2f8f 14 1 3351 5d 1 3b5d 22 1 39ac 2f 0 31b7 72 1 332e fe 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 1 
0 374f 47 1 29fd 0f 0 38b6 d1 1 39f4 da 0 3b97 21 0 395e 69 0 3bf7 f6 1 340b f8 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 0 
0 349d 86 0 3013 0a 1 3849 50 0 39d2 1e 0 3263 62 0 379b 6a 0 2319 f6 0 3419 fc 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
0 39b9 47 1 3356 cb 1 21d0 95 0 2bc8 1d 1 3adf a0 0 3b48 2b 0 31f3 72 1 365e 7c 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
0 3698 c6 0 3bbd cd 0 3b12 10 1 3b4e 9a 0 3a4b a3 1 3b15 ad 1 3835 33 0 38ec 39 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 0 
0 3aa0 40 1 3b12 48 0 378f 56 1 3b2a 5d 0 313d a6 1 2b37 eb 0 3b40 76 1 3be1 79 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 1 
0 35d0 46 0 3019 cf 1 3991 94 1 3549 5d 0 341c 26 0 3546 ac 1 3b8c b3 1 3978 bf 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 0 
0 3599 85 1 35d1 0a 1 344d 57 1 3a4f 5e 1 2ea8 a5 1 3b2f ea 1 3b24 37 1 2d4e 7e 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 1 
0 37e6 46 1 38b5 8f 1 3b75 d5 0 3b8f 5d 0 3477 65 1 36c5 6a 1 3aca 35 1 3b6c 79 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
0 35ea 00 1 3962 cc 0 24fb 93 1 3a0c 5d 1 3ae2 e2 1 3760 ab 0 2e50 73 0 280b 7d 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 0 
0 2bcb c0 0 3a30 09 1 381e 93 1 2f97 19 1 342b a1 1 3284 ec 1 3a2c f0 1 35b9 bc 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
0 2d7e 84 1 3767 09 0 30d7 17 1 34da db 1 3bc6 22 1 3b96 6b 1 3ba5 f1 1 3a5d 7f 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 0 
0 3236 40 0 3897 0d 1 3b72 15 0 3b1a dc 0 3b60 a3 0 3804 6a 0 38f6 b5 1 3a68 3a 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 0 
0 2e8c 40 1 328f 09 0 2a89 55 0 364e 1c 0 3620 a4 1 248c 6f 1 3bf8 f7 0 3982 ba 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 1 
0 3815 c2 0 3b13 cb 1 3865 91 1 315c 1e 1 30ea a3 1 3a33 6c 1 35c7 f1 0 3579 3c 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
0 29b5 01 0 3a4e 88 1 3668 d7 1 336f 9d 0 339a e1 1 3249 ec 1 3b98 36 0 392c fd 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
0 3a6c 80 1 3a7b 4c 1 3782 16 1 3a22 1d 1 2ebe a2 0 3863 af 0 3ae8 77 1 3a59 bb 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 0 
0 28b2 c1 1 3b6b 09 1 3309 12 0 2905 1f 1 371d 67 0 3995 6a 1 2e79 74 1 2bf4 bd 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
1 3a1c 05 1 3b19 48 0 36e2 57 0 37cb dc 0 380d 62 1 3b30 a9 1 3bb6 b2 1 2fd0 3c 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 0 
1 322f c2 0 32c3 cd 1 3511 51 0 3a15 d9 0 3846 25 0 30d8 ea 1 34bd 36 1 381a b9 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 0 
1 35fa 42 0 39a3 4d 0 380e d1 0 38ec 18 1 389d 62 1 3b55 ac 0 3ac9 75 1 3b80 ff 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 1 
1 3a8a 82 0 3929 4b 1 395f 52 1 35eb 5e 0 3b2f a6 1 30ef 68 0 39b4 b6 1 389a 3c 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 1 
1 3916 c3 0 35fe 4a 1 3be6 d0 1 3b34 1f 0 3a13 63 1 296c 2d 1 3587 36 0 37e7 b9 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 1 
1 3bd8 04 0 3906 cd 1 38cf 97 1 3498 5b 0 3513 63 1 3a2b 2c 0 39ef b5 0 3b5d b8 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
1 2d91 40 1 2cba 4a 1 3a96 51 1 3a66 1a 1 381e 64 1 3235 6c 1 37ce 74 1 3594 fe 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
1 36a2 41 0 3a1a 0d 1 3b5c 51 0 3613 da 0 381e a5 0 36f9 6b 0 35ba f6 1 3820 ff 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 0 0 
1 3ad5 c7 1 3907 ce 1 39f3 d0 0 3bd5 db 0 2772 21 1 3bfd 2c 0 394e f5 1 324d 7b 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
1 3b53 03 0 35c5 c9 1 3b8b 17 0 38af 5e 1 3935 a2 1 39df ed 1 364a b6 0 2c5f 38 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 0 
1 3347 c2 0 3909 8e 0 3a03 57 0 3ac3 99 0 38bb 27 0 0e05 68 1 3854 34 1 3962 3e 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 0 1 1 1 0 0 0 0 
1 373b 01 1 3bc0 0d 0 3a71 12 1 3bdc de 0 383a 27 0 3b90 6f 0 3a1b f2 1 35f1 ff 1 1 1 0 0 35ea 0000 3637 38be 0000 3a1c 0000 0000 1 1 1 1 0 1 1 1 1 0 0 0 
1 3a3f 87 0 2df1 0e 0 3b9b 12 0 3609 59 0 37dd 22 0 29aa 6f 1 36c2 75 1 2832 79 1 1 1 0 1 2e8c 3684 3024 0000 0000 0000 37e6 39b9 1 1 1 1 1 1 1 1 0 0 0 1 
1 3a24 80 0 3957 8e 1 2f74 16 0 33ec 5f 1 36b9 66 0 3300 ac 0 2838 76 1 3aa6 39 0 0 1 0 2 3a6c 281a 0000 0000 2d7e 3599 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
1 3514 c2 1 3ac3 49 1 3ac0 96 1 329b 9a 1 388f a3 1 32f4 ab 1 3b68 31 0 3187 39 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 1 1 
1 2649 85 1 3834 cc 0 3a8c 94 0 392a 5d 1 3a18 a4 0 2de8 e8 1 3223 f7 1 2830 3e 0 0 1 0 3 0000 28b2 3b07 0000 0000 0000 3825 0000 0 1 1 1 1 1 1 1 0 1 1 0 
1 35c8 07 0 32a4 ca 1 35ec 15 0 3954 5e 0 3421 65 1 3889 68 1 3940 b0 0 3a13 bb 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 0 1 1 1 1 1 1 1 1 1 1 1 
1 2cbe 44 0 3910 0b 0 2ca5 d3 0 3a25 99 0 3a50 62 0 3937 ee 0 3a7d 72 0 3a83 3a 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 0 1 1 1 1 1 1 1 0 0 1 1 
1 390b 86 0 333d 8d 0 386a 11 1 3879 1b 0 3bdd a6 0 3bab 6e 0 3bbc 75 1 38da be 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 0 1 1 1 1 1 1 1 1 1 1 0 
1 3a46 43 0 34a0 cb 0 2e7b 55 1 36f9 99 1 3ae5 24 1 3944 2b 1 3b46 36 1 3aca 3f 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 0 1 1 1 1 1 1 1 1 1 0 1 
1 3819 41 0 32ce 8e 0 3329 17 0 371d 9f 0 3a30 21 1 3b93 ed 1 2f7f 37 1 3746 f8 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 1 0 
1 3ba4 80 1 3be5 4f 0 3237 d6 0 365b dd 1 38cd 25 1 3a56 ad 1 2d59 75 0 2831 3d 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 1 1 1 
1 2f31 80 1 39ac cc 1 2b18 96 0 26bd 9f 1 3ace e6 1 3754 e9 1 34e5 b7 0 3b1a f8 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
1 3490 83 1 38ae 0c 1 344d d7 1 3b49 58 1 20bc 25 0 3955 2e 1 3bde 32 0 3973 78 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 0 0 
1 34fc 05 1 3928 ce 1 392d d0 1 39d6 df 0 3031 a0 1 3842 2f 1 3b75 f7 0 38a8 bf 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 1 0 0 
1 34c3 84 1 35d4 ca 1 3153 55 0 3a72 9a 1 3bb5 63 0 3a3d eb 0 3026 71 1 341a 3b 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
1 3aa6 04 1 39ad 49 0 3923 17 1 38ef 5a 0 395f 26 1 3948 68 1 30c4 37 0 3927 bc 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 0 0 1 1 1 1 1 1 1 1 1 0 
1 3402 04 0 330a 0c 1 311a d5 1 38ac 19 0 2905 a2 1 3bb3 ad 0 3799 b5 1 30d3 fb 1 1 1 1 0 3045 3b6b 35d1 0000 3bbb 3d58 39bb 0000 0 0 1 1 1 1 1 1 1 0 1 0 
1 3553 c1 1 3a92 0a 0 3956 51 1 30a8 5c 0 3a85 e3 0 3bd5 6c 0 385b b0 1 39c8 7a 1 0 1 1 1 3212 3ac3 372c 3a48 3a7b 0000 36e9 38b6 1 0 1 1 1 1 1 1 1 0 0 0 
1 3a27 c7 1 34d4 8a 0 340c 56 0 3a2a dd 1 3842 27 1 311b ae 1 3958 b7 1 3648 fa 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 0 0 0 1 
1 3a2c c3 0 3146 cf 0 305e 57 0 398a 1b 0 3096 23 1 389a eb 0 3a79 f2 0 39a4 fe 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 0 0 0 0 
1 3b96 03 1 33b5 ce 0 3793 92 1 39bc 1a 0 385d 21 1 39f3 6d 1 36a2 70 0 3958 3d 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 0 1 1 1 
1 3310 43 1 3363 0f 1 392d 15 0 36f6 59 1 3bea 20 1 3928 2f 1 39b1 31 1 3b60 fb 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 0 1 1 1 
1 31a3 c7 1 394d ca 1 376c d5 0 391b 5a 1 3ac8 62 0 3602 ea 0 3b0c 30 1 3b4f fa 1 0 1 1 2 3a4e 0000 0000 0000 0000 3aff 3957 38b5 1 0 1 1 1 1 1 1 0 0 0 1 
1 378d 43 0 3a50 0f 1 3957 d1 1 3b69 5a 1 38e6 65 0 3be6 ed 1 3b45 b5 1 3bca fe 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 1 1 0 1 
1 34b7 c7 1 2f78 0e 0 3852 97 1 352a 1b 1 3bb1 e7 1 3293 29 1 273c f6 0 389a 7e 1 1 1 1 3 0000 3c5a 3951 3b13 0000 3e17 3907 3019 1 0 1 1 1 1 1 1 1 1 1 1 
1 37f7 c4 1 3b87 cb 1 38b1 92 0 383a 1c 0 3380 e4 1 3446 68 1 370c 36 0 3bb8 fb 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 1 1 0 0 
1 3b9c c3 0 3397 89 1 3b2f 17 1 35b2 9b 1 2fe8 e0 0 3921 68 1 1da0 b2 0 395c 79 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 0 1 1 0 
1 38b4 01 0 2cff 8b 1 3480 57 0 3992 9d 0 324d e5 0 3822 a8 1 39c8 b2 0 3489 fc 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 1 0 1 1 
1 31a4 44 0 3bc4 89 0 3a91 54 0 374e 1a 0 3826 a6 0 3bd3 6c 1 2ab5 b2 0 38ba 3a 1 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 0 1 1 1 1 1 1 1 1 0 1 
1 2d60 c0 0 3a93 0c 1 3244 d4 1 36c2 1c 0 38bf a4 0 3b49 6c 1 3bac f3 1 2dd2 78 1 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 0 0 1 0 
1 37a9 44 1 29da 4f 0 3ac3 16 0 31b0 1f 1 3b09 66 1 37fe 2a 0 3217 72 0 3a93 7e 0 0 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 0 1 1 1 1 0 1 
1 3543 84 1 38fb cf 0 353c 93 0 36d7 1f 1 3001 e3 0 3406 2f 0 38dc f0 1 3733 3e 0 1 0 0 0 0000 0000 0000 0000 0000 0000 0000 0000 1 1 1 1 1 1 1 1 1 0 0 1 
